Zeit;Kanal A
(ms);(mV)

-21,47374914;-2,42433548
-21,46874914;-2,79712105
-21,46374914;-2,98351359
-21,45874914;-2,98351359
-21,45374914;-2,79712105
-21,44874914;-2,98351359
-21,44374914;-2,23794293
-21,43874914;-2,61072826
-21,43374914;-2,23794293
-21,42874914;-2,23794293
-21,42374914;-2,23794293
-21,41874914;-2,05093503
-21,41374914;-2,05093503
-21,40874914;-2,23794293
-21,40374914;-1,86454225
-21,39874914;-2,23794293
-21,39374914;-2,98351359
-21,38874914;-4,10248518
-21,38374914;-3,54330683
-21,37874914;-4,10248518
-21,37374914;-5,22207165
-21,36874914;-5,40846395
-21,36374914;-5,96764231
-21,35874914;-5,78124952
-21,35374914;-6,52743578
-21,34874914;-6,90022135
-21,34374914;-6,34104300
-21,33874914;-6,71382856
-21,33374914;-5,96764231
-21,32874914;-6,52743578
-21,32374914;-5,03506374
-21,31874914;-5,03506374
-21,31374915;-4,10248518
-21,30874915;-4,10248518
-21,30374915;-3,17052150
-21,29874915;-2,98351359
-21,29374915;-4,47588587
-21,28874915;-2,98351359
-21,28374915;-2,61072826
-21,27874915;-2,23794293
-21,27374915;-2,23794293
-21,26874915;-2,98351359
-21,26374915;-2,98351359
-21,25874915;-2,98351359
-21,25374915;-2,23794293
-21,24874915;-2,61072826
-21,24374915;-2,05093503
-21,23874915;-2,42433548
-21,23374915;-2,05093503
-21,22874915;-2,05093503
-21,22374915;-2,05093503
-21,21874915;-1,67814958
-21,21374915;-1,30536413
-21,20874915;-0,55917817
-21,20374915;0,18639271
-21,19874915;0,55917817
-21,19374915;0,93196356
-21,18874915;0,37278542
-21,18374915;1,49175680
-21,17874915;1,30536413
-21,17374915;2,23794293
-21,16874915;1,67814958
-21,16374915;1,11897147
-21,15874915;1,11897147
-21,15374915;1,67814958
-21,14874915;2,23794293
-21,14374915;2,61072826
-21,13874915;2,05093503
-21,13374915;2,98351359
-21,12874915;3,35691428
-21,12374915;2,98351359
-21,11874915;3,54330683
-21,11374915;3,91609240
-21,10874915;4,66227818
-21,10374915;4,28949261
-21,09874915;3,72969961
-21,09374915;3,91609240
-21,08874915;4,10248518
-21,08374915;4,10248518
-21,07874915;4,47588587
-21,07374915;3,54330683
-21,06874915;3,54330683
-21,06374915;3,35691428
-21,05874915;2,98351359
-21,05374915;3,54330683
-21,04874915;3,35691428
-21,04374915;3,35691428
-21,03874915;3,54330683
-21,03374915;2,98351359
-21,02874915;3,72969961
-21,02374915;3,72969961
-21,01874915;3,91609240
-21,01374915;3,72969961
-21,00874915;4,47588587
-21,00374915;4,10248518
-20,99874915;4,10248518
-20,99374915;3,35691428
-20,98874915;3,72969961
-20,98374915;3,91609240
-20,97874915;4,10248518
-20,97374915;3,91609240
-20,96874915;2,42433548
-20,96374915;2,42433548
-20,95874915;2,42433548
-20,95374915;1,86454225
-20,94874915;1,49175680
-20,94374915;1,11897147
-20,93874915;1,49175680
-20,93374915;1,11897147
-20,92874915;0,74557084
-20,92374915;0,74557084
-20,91874916;0,55917817
-20,91374916;0,55917817
-20,90874916;0,18639271
-20,90374916;-0,37278542
-20,89874916;0,00000000
-20,89374916;0,18639271
-20,88874916;-1,11897147
-20,88374916;-0,74557084
-20,87874916;-1,11897147
-20,87374916;-2,23794293
-20,86874916;-2,05093503
-20,86374916;-1,67814958
-20,85874916;-2,98351359
-20,85374916;-3,91609240
-20,84874916;-3,54330683
-20,84374916;-3,54330683
-20,83874916;-4,10248518
-20,83374916;-4,10248518
-20,82874916;-4,10248518
-20,82374916;-4,84867096
-20,81874916;-5,03506374
-20,81374916;-5,03506374
-20,80874916;-5,22207165
-20,80374916;-5,40846395
-20,79874916;-5,59485722
-20,79374916;-5,78124952
-20,78874916;-5,96764231
-20,78374916;-5,96764231
-20,77874916;-5,78124952
-20,77374916;-6,90022135
-20,76874916;-7,27362204
-20,76374916;-6,34104300
-20,75874916;-6,52743578
-20,75374916;-6,71382856
-20,74874916;-6,71382856
-20,74374916;-6,71382856
-20,73874916;-6,15403509
-20,73374916;-5,96764231
-20,72874916;-4,84867096
-20,72374916;-5,22207165
-20,71874916;-3,91609240
-20,71374916;-3,35691428
-20,70874916;-3,35691428
-20,70374916;-2,98351359
-20,69874916;-2,42433548
-20,69374916;-2,79712105
-20,68874916;-3,35691428
-20,68374916;-3,17052150
-20,67874916;-4,84867096
-20,67374916;-4,28949261
-20,66874916;-5,03506374
-20,66374916;-5,22207165
-20,65874916;-5,59485722
-20,65374916;-5,40846395
-20,64874916;-6,34104300
-20,64374916;-6,71382856
-20,63874916;-6,34104300
-20,63374916;-5,78124952
-20,62874916;-5,78124952
-20,62374916;-5,03506374
-20,61874916;-4,84867096
-20,61374916;-4,10248518
-20,60874916;-3,72969961
-20,60374916;-3,17052150
-20,59874916;-3,54330683
-20,59374916;-2,61072826
-20,58874916;-1,86454225
-20,58374916;-2,23794293
-20,57874916;-1,30536413
-20,57374916;-1,30536413
-20,56874916;-1,49175680
-20,56374916;-1,30536413
-20,55874916;-1,67814958
-20,55374916;-1,49175680
-20,54874916;-1,67814958
-20,54374916;-1,30536413
-20,53874916;-1,30536413
-20,53374916;-1,30536413
-20,52874916;-1,30536413
-20,52374916;-0,55917817
-20,51874917;-0,74557084
-20,51374917;-0,37278542
-20,50874917;0,55917817
-20,50374917;0,93196356
-20,49874917;1,11897147
-20,49374917;2,42433548
-20,48874917;1,49175680
-20,48374917;2,42433548
-20,47874917;2,79712105
-20,47374917;3,35691428
-20,46874917;2,79712105
-20,46374917;3,72969961
-20,45874917;3,91609240
-20,45374917;3,35691428
-20,44874917;3,72969961
-20,44374917;3,91609240
-20,43874917;3,72969961
-20,43374917;4,84867096
-20,42874917;3,54330683
-20,42374917;3,35691428
-20,41874917;4,28949261
-20,41374917;3,91609240
-20,40874917;4,10248518
-20,40374917;4,66227818
-20,39874917;4,66227818
-20,39374917;4,47588587
-20,38874917;4,84867096
-20,38374917;5,03506374
-20,37874917;5,22207165
-20,37374917;5,22207165
-20,36874917;4,66227818
-20,36374917;4,28949261
-20,35874917;4,66227818
-20,35374917;3,72969961
-20,34874917;4,28949261
-20,34374917;3,91609240
