Zeit;Kanal A;Kanal B
(ms);(V);(V)

1,16950511;1,03395665;0,97846949
1,16970511;1,03395665;0,97846949
1,16990511;1,03395665;0,97846949
1,17010511;1,03395665;0,99593997
1,17030511;1,03395665;0,97846949
1,17050511;1,03395665;0,97846949
1,17070511;1,03395665;0,97846949
1,17090511;1,03395665;0,99593997
1,17110511;1,03395665;0,99593997
1,17130511;1,03395665;0,99593997
1,17150511;1,03395665;0,99593997
1,17170511;1,03395665;0,99593997
1,17190511;1,03395665;0,99593997
1,17210511;1,03395665;0,99593997
1,17230511;1,03395665;0,99593997
1,17250511;1,03395665;0,96099901
1,17270511;1,03395665;0,99593997
1,17290511;1,03395665;0,99593997
1,17310511;1,03395665;1,01341045
1,17330511;1,03395665;1,01341045
1,17350511;1,03395665;1,01341045
1,17370511;1,03395665;1,01341045
1,17390511;1,03395665;1,01341045
1,17410511;1,03395665;1,01341045
1,17430511;1,03395665;1,01341045
1,17450511;1,03395665;1,01341045
1,17470511;1,03395665;1,01341045
1,17490511;1,03395665;1,01341045
1,17510511;1,03395665;1,01341045
1,17530511;1,03395665;1,01341045
1,17550511;1,03395665;1,01341045
1,17570511;1,03395665;1,03088093
1,17590511;1,03395665;1,03088093
1,17610511;1,03395665;1,03088093
1,17630511;1,03395665;1,03088093
1,17650511;1,03395665;1,03088093
1,17670511;1,03395665;1,03088093
1,17690511;1,03395665;1,03088093
1,17710511;1,03395665;1,03088093
1,17730511;1,03395665;1,03088093
1,17750511;1,03395665;1,03088093
1,17770511;1,03395665;1,03088093
1,17790511;1,03395665;1,06582189
1,17810511;1,03395665;1,03088093
1,17830511;1,03395665;1,04835141
1,17850511;1,03395665;1,04835141
1,17870511;1,03395665;1,03088093
1,17890511;1,03395665;1,04835141
1,17910511;1,03395665;1,04835141
1,17930511;1,03395665;1,04835141
1,17950511;1,03395665;1,04835141
1,17970511;1,03395665;1,04835141
1,17990511;1,03395665;1,04835141
1,18010511;1,03395665;1,04835141
1,18030511;1,03395665;1,04835141
1,18050511;1,03395665;1,04835141
1,18070511;1,03395665;1,06582189
1,18090511;1,03395665;1,06582189
1,18110511;1,03395665;1,04835141
1,18130511;1,03395665;1,06582189
1,18150511;1,03395665;1,06582189
1,18170511;1,03395665;1,06582189
1,18190511;1,03395665;1,06582189
1,18210511;1,03395665;1,06582189
1,18230511;1,03395665;1,06582189
1,18250511;1,03395665;1,06582189
1,18270511;1,03395665;1,06582189
1,18290511;1,03395665;1,06582189
1,18310511;1,03395665;1,06582189
1,18330511;1,03395665;1,06582189
1,18350511;1,03395665;1,08329237
1,18370511;1,03395665;1,08329237
1,18390511;1,03395665;1,08329237
1,18410511;1,03395665;1,08329237
1,18430511;1,03395665;1,08329237
1,18450511;1,03395665;1,08329237
1,18470511;1,03395665;1,08329237
1,18490511;1,03395665;1,08329237
1,18510511;1,03395665;1,08329237
1,18530511;1,03395665;1,08329237
1,18550511;1,03395665;1,08329237
1,18570511;1,03395665;1,08329237
1,18590511;1,03395665;1,10076284
1,18610511;1,03395665;1,10076284
1,18630511;1,03395665;1,10076284
1,18650511;1,03395665;1,08329237
1,18670511;1,03395665;1,08329237
1,18690511;1,03395665;1,10076284
1,18710511;1,03395665;1,10076284
1,18730511;1,03395665;1,10076284
1,18750511;1,03395665;1,10076284
1,18770511;1,03395665;1,10076284
1,18790511;1,03395665;1,10076284
1,18810511;1,03395665;1,10076284
1,18830511;1,03395665;1,10076284
1,18850511;1,03395665;1,10076284
1,18870511;1,03395665;1,10076284
1,18890511;1,03395665;1,11823332
1,18910511;1,03395665;1,10076284
1,18930511;1,03395665;1,10076284
1,18950511;1,03395665;1,11823332
1,18970511;1,03395665;1,10076284
1,18990511;1,03395665;1,11823332
1,19010511;1,03395665;1,11823332
1,19030511;1,03395665;1,11823332
1,19050511;1,03395665;1,11823332
1,19070511;1,03395665;1,11823332
1,19090511;1,03395665;1,11823332
1,19110511;1,03395665;1,11823332
1,19130511;1,03395665;1,11823332
1,19150511;1,03395665;1,11823332
1,19170511;1,03395665;1,11823332
1,19190511;1,03395665;1,11823332
1,19210511;1,03395665;1,13570368
1,19230511;1,03395665;1,11823332
1,19250511;1,03395665;1,13570368
1,19270511;1,03395665;1,13570368
1,19290511;1,03395665;1,13570368
1,19310511;1,03395665;1,13570368
1,19330511;1,03395665;1,13570368
1,19350511;1,03395665;1,13570368
1,19370511;1,03395665;1,13570368
1,19390511;1,03395665;1,13570368
1,19410511;1,03395665;1,13570368
1,19430511;1,03395665;1,13570368
1,19450511;1,03395665;1,13570368
1,19470511;1,03395665;1,13570368
1,19490511;1,03395665;1,15317416
1,19510511;1,03395665;1,13570368
1,19530511;1,03395665;1,15317416
1,19550511;1,03395665;1,15317416
1,19570511;1,03395665;1,15317416
1,19590511;1,03395665;1,15317416
1,19610511;1,03395665;1,15317416
1,19630511;1,03395665;1,15317416
1,19650511;1,03395665;1,15317416
1,19670511;1,03395665;1,15317416
1,19690511;1,03395665;1,15317416
1,19710511;1,03395665;1,15317416
1,19730511;1,03395665;1,15317416
1,19750511;1,03395665;1,15317416
1,19770511;1,03395665;1,15317416
1,19790511;1,03395665;1,15317416
1,19810511;1,03395665;1,17064464
1,19830511;1,03395665;1,11823332
1,19850511;1,03395665;1,17064464
1,19870511;1,03395665;1,17064464
1,19890511;1,03395665;1,17064464
