time; signal
7.560000000000031972e-05;1.749344234000000053e+00
7.579999999999913196e-05;1.752839557599999765e+00
7.600000000000141365e-05;1.756334881199999920e+00
7.620000000000022589e-05;1.759830204800000075e+00
7.639999999999903812e-05;1.762976118799999936e+00
7.659999999999958509e-05;1.766122032799999797e+00
7.680000000000013205e-05;1.769617356399999952e+00
7.700000000000067901e-05;1.773112680000000108e+00
7.719999999999949125e-05;1.776258594200000207e+00
7.739999999999830349e-05;1.779404508400000307e+00
7.760000000000058518e-05;1.782550422600000184e+00
7.779999999999939742e-05;1.785696336800000061e+00
7.799999999999994438e-05;1.788492841400000088e+00
7.819999999999875662e-05;1.791289346000000116e+00
7.840000000000103830e-05;1.794435260200000215e+00
7.859999999999985054e-05;1.797581174400000315e+00
7.879999999999866278e-05;1.800727088600000414e+00
7.899999999999920974e-05;1.803873002800000513e+00
7.919999999999975671e-05;1.806669507400000318e+00
7.940000000000030367e-05;1.809466012000000124e+00
7.959999999999911591e-05;1.812262516600000151e+00
7.980000000000139759e-05;1.815059021200000178e+00
8.000000000000020983e-05;1.817855525799999983e+00
8.019999999999902207e-05;1.820652030400000010e+00
8.039999999999956903e-05;1.823448535000000037e+00
8.060000000000011600e-05;1.826245039599999842e+00
8.080000000000066296e-05;1.828692134600000019e+00
8.099999999999947520e-05;1.831139232000000172e+00
8.119999999999828744e-05;1.833586329400000103e+00
8.140000000000056912e-05;1.836033426800000035e+00
8.159999999999938136e-05;1.838480524199999966e+00
8.179999999999992832e-05;1.841277031000000175e+00
8.199999999999874056e-05;1.843374718799999812e+00
8.220000000000102225e-05;1.845821815999999949e+00
8.239999999999983449e-05;1.848268913200000085e+00
8.259999999999864673e-05;1.850716010400000000e+00
8.279999999999919369e-05;1.853163107599999915e+00
8.299999999999974065e-05;1.855610204800000052e+00
8.320000000000028761e-05;1.857706662200000025e+00
8.339999999999909985e-05;1.859803119599999999e+00
8.360000000000138154e-05;1.861899576999999972e+00
8.380000000000019378e-05;1.863996034400000168e+00
8.399999999999900602e-05;1.866092491800000142e+00
8.419999999999955298e-05;1.867839539600000043e+00
8.440000000000009994e-05;1.869586587400000166e+00
8.460000000000064690e-05;1.871683044800000140e+00
8.479999999999945914e-05;1.873430092600000041e+00
8.500000000000000611e-05;1.875177140399999942e+00
8.520000000000055307e-05;1.877273597799999916e+00
8.539999999999936531e-05;1.879370055200000111e+00
8.559999999999991227e-05;1.881117103000000235e+00
8.579999999999872451e-05;1.882514741200000064e+00
8.600000000000100620e-05;1.884261788999999965e+00
8.619999999999981843e-05;1.886008836800000088e+00
8.639999999999863067e-05;1.887755884600000211e+00
8.659999999999917764e-05;1.889502932400000335e+00
